sequence accession,strain_name,state,subtype,NA_clade,HA_clade
KT383469,A/swine/Iowa/A01472644/2015,Iowa,H3N2,N2.2002B,cluster_ivb
KT595716,A/swine/North_Carolina/A02034953/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT595701,A/swine/North_Carolina/A02035922/2015,North Carolina,H1N2,N2.1998B,delta2
KT595725,A/swine/Nebraska/A02034991/2015,Nebraska,H3N2,N2.2002A,cluster_iv
KT595731,A/swine/North_Carolina/A01769110/2015,North Carolina,H1N2,N2.2002A,delta2
KT595719,A/swine/Missouri/A01770005/2015,Missouri,H3N2,N2.2002B,2010.1
KT750759,A/swine/North_Carolina/A01770059/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT750780,A/swine/North_Carolina/A01770073/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT426697,A/swine/South_Dakota/A01472720/2015,South Dakota,H1N2,N2.2002A,delta1b
KT750777,A/swine/Iowa/A01769343/2015,Iowa,H3N2,N2.2002B,cluster_iva
KT699051,A/swine/Minnesota/A01823864/2015,Minnesota,H1N2,N2.2002A,delta1a
KT699048,A/swine/Minnesota/A01823870/2015,Minnesota,H1N2,N2.2002A,delta1a
KT750786,A/swine/Iowa/A01769394/2015,Iowa,H3N2,N2.2002B,cluster_ivb
KT750795,A/swine/North_Carolina/A01770255/2015,North Carolina,H1N2,N2.1998B,delta2
KT750765,A/swine/North_Carolina/A02025522/2015,North Carolina,H1N2,N2.1998B,delta2
KT750783,A/swine/North_Carolina/A02076944/2015,North Carolina,H1N2,N2.1998B,delta2
KT750792,A/swine/North_Carolina/A02076945/2015,North Carolina,H1N2,N2.1998B,delta2
KT750771,A/swine/Oklahoma/A01770191/2015,Oklahoma,H3N2,N2.2002B,cluster_iva
KT750768,A/swine/Iowa/A01769483/2015,Iowa,H1N2,N2.2002A,delta1a
KT995476,A/swine/Kansas/A01377582/2015,Kansas,H3N2,N2.2002B,cluster_iva
KT583606,A/swine/Minnesota/A01472881/2015,Minnesota,H3N2,N2.2002B,cluster_iva
KT804009,A/swine/Indiana/A01260958/2015,Indiana,H3N2,N2.2002B,cluster_iva
KT583609,A/swine/South_Dakota/A01472919/2015,South Dakota,H1N2,N2.2002A,delta1b
KT750762,A/swine/Illinois/A01770246/2015,Illinois,H3N2,N2.2002B,cluster_iva
KT767617,A/swine/Iowa/A02025591/2015,Iowa,H1N2,N2.2002A,delta1b
KT750774,A/swine/North_Carolina/A01770259/2015,North Carolina,H1N2,N2.1998B,delta2
KT767626,A/swine/North_Carolina/A02025575/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT767632,A/swine/North_Carolina/A02025581/2015,North Carolina,H1N2,N2.1998B,delta2
KT767638,A/swine/Oklahoma/A01770387/2015,Oklahoma,H1N2,N2.2002A,delta1a
KT767604,A/swine/Oklahoma/A02025582/2015,Oklahoma,H1N2,N2.2002A,delta1a
KT767629,A/swine/Oklahoma/A02076949/2015,Oklahoma,H1N2,N2.2002A,delta1a
KT633514,A/swine/South_Dakota/A01472948/2015,South Dakota,H1N2,N2.2002B,delta1b
KT583612,A/swine/South_Dakota/A01472959/2015,South Dakota,H1N2,N2.2002A,delta1b
KT583615,A/swine/Iowa/A01472992/2015,Iowa,H1N2,N2.2002A,delta1a
KT767607,A/swine/Michigan/A02025547/2015,Michigan,H3N2,N2.2002B,cluster_iva
KT767610,A/swine/North_Carolina/A01769650/2015,North Carolina,(N2),N2.2002A,delta2
KT767641,A/swine/Illinois/A01769612/2015,Illinois,H1N2,N2.2002B,delta1a
KT767644,A/swine/Iowa/A02025573/2015,Iowa,H1N2,N2.2002B,delta1a
KT767614,A/swine/North_Carolina/A02025585/2015,North Carolina,H1N2,N2.1998B,delta2
KT825134,A/swine/Minnesota/A01940153/2015,Minnesota,H3N2,N2.2002B,cluster_iva
KT733590,A/swine/Minnesota/A01940042/2015,Minnesota,H1N2,N2.2002A,delta1a
KT733593,A/swine/Iowa/A01940028/2015,Iowa,H1N2,N2.2002A,delta1a
KT803130,A/swine/North_Carolina/A02025643/2015,North Carolina,H1N2,N2.1998B,delta2
KT803105,A/swine/North_Carolina/A02025687/2015,North Carolina,(N2),N2.2002B,cluster_iva
KT803109,A/swine/Oklahoma/A01770672/2015,Oklahoma,H1N2,N2.2002B,delta1a
KT803124,A/swine/North_Carolina/A02025678/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT734978,A/swine/South_Dakota/A01746129/2015,South Dakota,H1N2,N2.2002B,delta1b
KT803112,A/swine/Illinois/A01770678/2015,Illinois,H3N2,N2.2002B,cluster_iva
KU204742,A/swine/Indiana/A01260967/2015,Indiana,H3N2,N2.2002B,cluster_ivb
KT825136,A/swine/Minnesota/A01940148/2015,Minnesota,H3N2,N2.2002B,cluster_iva
KT825089,A/swine/Arkansas/A01770795/2015,Arkansas,H1N2,N2.2002B,delta1a
KT877164,A/swine/Illinois/A02090639/2015,Illinois,H3N2,N2.2002B,cluster_iva
KT825138,A/swine/Minnesota/A01940176/2015,Minnesota,H3N2,N2.2002A,2010.1
KT825104,A/swine/Oklahoma/A01857063/2015,Oklahoma,H1N2,N2.2002B,delta1a
KT825098,A/swine/Iowa/A02025827/2015,Iowa,H1N2,N2.2002B,delta1a
KT825077,A/swine/North_Carolina/A01857104/2015,North Carolina,H1N2,N2.2002A,delta2
KT825113,A/swine/Iowa/A02076965/2015,Iowa,(N2),N2.2002B,gamma
KT825080,A/swine/North_Carolina/A01857100/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT825107,A/swine/North_Carolina/A01857103/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT825121,A/swine/North_Carolina/A02025840/2015,North Carolina,H1N2,N2.1998B,delta2
KT965343,A/swine/Indiana/A01260976/2015,Indiana,H3N2,N2.2002B,cluster_iva
KT825124,A/swine/Iowa/A01770929/2015,Iowa,H1N2,N2.2002A,delta1a
KT825086,A/swine/North_Carolina/A01770964/2015,North Carolina,H1N2,N2.1998B,delta2
KT825095,A/swine/North_Carolina/A01857097/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT825083,A/swine/North_Carolina/A01857099/2015,North Carolina,H1N2,N2.1998B,delta2
KT825092,A/swine/North_Carolina/A02025845/2015,North Carolina,H1N2,N2.2002A,delta2
KT825115,A/swine/North_Carolina/A02025869/2015,North Carolina,H1N2,N2.2002A,delta2
KT825118,A/swine/North_Carolina/A02025897/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT734981,A/swine/South_Dakota/A01746305/2015,South Dakota,H1N2,N2.2002A,delta1b
KT877167,A/swine/Illinois/A02090702/2015,Illinois,H3N2,N2.2002A,cluster_ive
KT825127,A/swine/North_Carolina/A01770961/2015,North Carolina,H1N2,N2.1998B,delta2
KT867251,A/swine/Iowa/A02025916/2015,Iowa,H3N2,N2.2002B,cluster_iva
KT867230,A/swine/North_Carolina/A01857214/2015,North Carolina,H1N2,N2.1998B,delta2
KT867254,A/swine/Indiana/A02025965/2015,Indiana,H1N2,N2.2002B,delta1a
KT867233,A/swine/Iowa/A02076974/2015,Iowa,H1N2,N2.2002A,delta1b
KU204718,A/swine/Indiana/A01260983/2015,Indiana,H3N2,N2.2002B,cluster_ivb
KT867245,A/swine/Iowa/A01945034/2015,Iowa,H3N2,N2.2002A,cluster_ive
KT889316,A/swine/North_Carolina/A01944052/2015,North Carolina,H1N2,N2.1998B,delta2
KT867239,A/swine/North_Carolina/A01945071/2015,North Carolina,H1N2,N2.1998B,delta2
KT867248,A/swine/North_Carolina/A02025967/2015,North Carolina,H1N2,N2.1998B,delta2
KT803137,A/swine/South_Dakota/A01746396/2015,South Dakota,H1N2,N2.2002A,delta1b
KT889319,A/swine/Iowa/A01944022/2015,Iowa,H3N2,N2.2002B,cluster_iv
KT867236,A/swine/Illinois/A01857433/2015,Illinois,H3N2,N2.2002B,cluster_iva
KT889337,A/swine/North_Carolina/A01795090/2015,North Carolina,H1N2,N2.1998B,delta2
KT889322,A/swine/North_Carolina/A01945112/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT889343,A/swine/North_Carolina/A01945113/2015,North Carolina,H1N2,N2.1998B,delta2
KT889310,A/swine/Iowa/A01795080/2015,Iowa,H1N2,N2.2002A,delta1a
KT889313,A/swine/Illinois/A01945130/2015,Illinois,H1N2,N2.2002B,delta1a
KT889325,A/swine/Illinois/A01945165/2015,Illinois,H1N2,N2.2002B,delta1a
KT936553,A/swine/Minnesota/A01940427/2015,Minnesota,H3N2,N2.2002B,cluster_iva
KT889346,A/swine/Iowa/A01945156/2015,Iowa,H3N2,N2.2002B,cluster_ivb
KT965400,A/swine/Illinois/A01945208/2015,Illinois,H1N2,N2.2002B,delta1a
KT924275,A/swine/Iowa/A01795227/2015,Iowa,H1N2,N2.2002A,delta1b
KT924272,A/swine/North_Carolina/A01945243/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT924269,A/swine/North_Carolina/A01945244/2015,North Carolina,H3N2,N2.2002B,cluster_ivb
KT965363,A/swine/Indiana/A01945254/2015,Indiana,H1N2,N2.1998B,delta2
KT924287,A/swine/Illinois/A01795259/2015,Illinois,H1N2,N2.2002B,delta1a
KT924281,A/swine/Illinois/A01945293/2015,Illinois,H1N2,N2.2002B,delta1a
KT965369,A/swine/Iowa/A01944136/2015,Iowa,H3N2,N2.2002B,2010.1
KT924266,A/swine/Iowa/A01944211/2015,Iowa,H3N2,N2.2002B,cluster_iva
KT924278,A/swine/North_Carolina/A01945329/2015,North Carolina,H1N2,N2.1998B,gamma
KT924293,A/swine/Illinois/A01857632/2015,Illinois,H3N2,N2.2002A,cluster_ive
KT965388,A/swine/North_Carolina/A01944294/2015,North Carolina,H1N2,N2.1998B,delta2
KT965391,A/swine/Arkansas/A01945350/2015,Arkansas,H3N2,N2.2002A,2010.1
KT965378,A/swine/Iowa/A01857653/2015,Iowa,(N2),N2.2002A,cluster_iva
KT965430,A/swine/Iowa/A01857687/2015,Iowa,H3N2,N2.2002B,cluster_iva
KT965424,A/swine/Pennsylvania/A01944215/2015,Pennsylvania,H1N2,N2.2002A,delta2
KT965403,A/swine/Iowa/A01795303/2015,Iowa,H1N2,N2.2002B,alpha
KT965415,A/swine/Iowa/A01857704/2015,Iowa,H1N2,N2.2002A,delta1a
KT965418,A/swine/Iowa/A01945370/2015,Iowa,H1N2,N2.2002A,delta1b
KT952013,A/swine/Nebraska/A01940577/2015,Nebraska,H1N2,N2.2002A,beta
KT952010,A/swine/Minnesota/A01940683/2015,Minnesota,H1N2,N2.2002B,delta1a
KT965421,A/swine/Oklahoma/A01857679/2015,Oklahoma,H1N2,N2.2002B,delta1a
KT965427,A/swine/Indiana/A01945616/2015,Indiana,H1N2,N2.2002B,gamma
KT965366,A/swine/North_Carolina/A01944409/2015,North Carolina,H1N2,N2.1998B,delta2
KT965375,A/swine/North_Carolina/A01945368/2015,North Carolina,H1N2,N2.1998B,delta2
KT965412,A/swine/Indiana/A01945405/2015,Indiana,H1N2,N2.2002B,delta1a
KU171027,A/swine/Illinois/A02090943/2015,Illinois,H3N2,N2.2002A,cluster_ive
KT995487,A/swine/North_Carolina/A01945452/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT995528,A/swine/North_Carolina/A01945598/2015,North Carolina,H1N2,N2.1998B,delta2
KT995516,A/swine/North_Carolina/A01945603/2015,North Carolina,H1N2,N2.1998B,delta2
KT965397,A/swine/Ohio/A01944458/2015,Ohio,H3N2,N2.2002A,cluster_iva
KT965372,A/swine/Oklahoma/A01944447/2015,Oklahoma,H1N2,N2.2002B,delta1a
KT995507,A/swine/North_Carolina/A01795377/2015,North Carolina,H1N2,N2.2002B,delta2
KT995493,A/swine/Iowa/A01795376/2015,Iowa,H1N2,N2.2002B,delta1a
KU143614,A/swine/North_Carolina/A01857751/2015,North Carolina,H1N2,N2.1998B,delta2
KT995496,A/swine/Ohio/A01795365/2015,Ohio,H3N2,N2.2002A,cluster_iva
KT995513,A/swine/Oklahoma/A01944545/2015,Oklahoma,H1N2,N2.2002B,delta1a
KU171033,A/swine/Ilinois/A02090968/2015,Unknown,H3N2,N2.2002A,cluster_ive
KT995502,A/swine/North_Carolina/A01945473/2015,North Carolina,(N2),N2.2002B,cluster_iva
KT995522,A/swine/North_Carolina/A01945490/2015,North Carolina,H1N2,N2.2002B,delta2
KT995499,A/swine/North_Carolina/A01945525/2015,North Carolina,H1N2,N2.1998B,delta2
KT952016,A/swine/Minnesota/A01940686/2015,Minnesota,H1N2,N2.2002A,delta1b
KT995510,A/swine/Illinois/A01945555/2015,Illinois,H1N2,N2.2002B,delta1a
KU171024,A/swine/Illinois/A02090984/2015,Illinois,H3N2,N2.2002B,cluster_iva
KU204726,A/swine/Indiana/A01812022/2015,Indiana,H3N2,N2.2002B,cluster_ivb
KU143638,A/swine/Arkansas/A01945580/2015,Arkansas,H3N2,N2.2002A,2010.1
KU143617,A/swine/Iowa/A01795438/2015,Iowa,H1N2,N2.2002B,delta1a
KU143620,A/swine/North_Carolina/A01857750/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU143674,A/swine/Illinois/A01945618/2015,Illinois,(N2),N2.2002A,cluster_iva
KU173900,A/swine/Iowa/A01795441/2015,Iowa,(N2),N2.2002A,gamma
KU143684,A/swine/Ohio/A01857766/2015,Ohio,H3N2,N2.2002A,cluster_iva
KU143626,A/swine/Iowa/A01945639/2015,Iowa,H1N2,N2.2002B,delta1a
KU143665,A/swine/North_Carolina/A01945861/2015,North Carolina,H1N2,N2.1998B,delta2
KT984984,A/swine/Minnesota/A01746892/2015,Minnesota,H1N2,N2.2002B,alpha
KU160703,A/swine/North_Carolina/A01944727/2015,North Carolina,(N2),N2.2002B,cluster_iva
KU160742,A/swine/North_Carolina/A01944728/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU143632,A/swine/North_Carolina/A01945652/2015,North Carolina,H1N2,N2.1998B,delta2
KU143662,A/swine/Illinois/A01945691/2015,Illinois,H3N2,N2.2002B,cluster_iva
KU143605,A/swine/Minnesota/A01940765/2015,Minnesota,H3N2,N2.2002B,cluster_iva
KU143599,A/swine/Minnesota/A01940814/2015,Minnesota,H3N2,N2.2002B,cluster_iva
KU143647,A/swine/North_Carolina/A01945726/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU143653,A/swine/North_Carolina/A01945728/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU143656,A/swine/North_Carolina/A01945748/2015,North Carolina,H1N2,N2.1998B,delta2
KU171030,A/swine/Illinois/A01749100/2015,Illinois,H3N2,N2.2002B,cluster_iva
KU160736,A/swine/Illinois/A01795486/2015,Illinois,H1N2,N2.2002B,delta1a
KU143659,A/swine/Illinois/A01945741/2015,Illinois,H1N2,N2.2002B,delta1a
KU752412,A/swine/Indiana/A01812028/2015,Indiana,H1N2,N2.1998B,delta2
KU143635,A/swine/Indiana/A01945739/2015,Indiana,H1N2,N2.2002B,delta1a
KU143611,A/swine/Indiana/A01945744/2015,Indiana,H1N2,N2.2002B,delta1a
KU042890,A/swine/Iowa/A01746958/2015,Iowa,H1N2,N2.2002B,delta1a
KU143623,A/swine/Iowa/A01795483/2015,Iowa,H1N2,N2.2002A,beta
KU160682,A/swine/Nebraska/A01944792/2015,Nebraska,H1N2,N2.2002A,delta1b
KU143671,A/swine/North_Carolina/A01945753/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU143597,A/swine/South_Dakota/A01746932/2015,South Dakota,H1N2,N2.2002A,delta1a
KU160688,A/swine/Iowa/A01944755/2015,Iowa,(N2),N2.2002A,delta1b
KU160719,A/swine/Iowa/A01945783/2015,Iowa,(N2),N2.2002A,gamma
KU143678,A/swine/North_Carolina/A01945740/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU160705,A/swine/North_Carolina/A01945800/2015,North Carolina,H3N2,N2.2002B,cluster_ivb
KU311467,A/swine/Kansas/A01377619/2015,Kansas,H3N2,N2.2002B,cluster_iva
KU143608,A/swine/Minnesota/A01940819/2015,Minnesota,H1N2,N2.2002A,delta1a
KU160751,A/swine/North_Carolina/A01945825/2015,North Carolina,H1N2,N2.2002B,delta2
KU160745,A/swine/Oklahoma/A01857957/2015,Oklahoma,H1N2,N2.2002B,delta1a
KU160758,A/swine/Iowa/A01944800/2015,Iowa,H1N2,N2.2002B,delta1a
KU160721,A/swine/Iowa/A01945863/2015,Iowa,H1N2,N2.2002A,delta1b
KU160679,A/swine/North_Carolina/A01945823/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU301024,A/swine/North_Carolina/A01945912/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU160764,A/swine/North_Carolina/A01945939/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU160676,A/swine/Arkansas/A01857979/2015,Arkansas,H3N2,N2.2002B,cluster_iva
KU160730,A/swine/Illinois/A01944807/2015,Illinois,H1N2,N2.2002A,delta1b
KU204734,A/swine/Indiana/A01812040/2015,Indiana,H1N2,N2.2002B,delta1a
KU160754,A/swine/Iowa/A01795489/2015,Iowa,(N2),N2.2002A,gamma
KU173891,A/swine/Iowa/A01944834/2015,Iowa,H1N2,N2.2002B,delta1a
KU160695,A/swine/Iowa/A01945966/2015,Iowa,(N2),N2.2002A,cluster_iva
KU229919,A/swine/Missouri/A01795668/2015,Missouri,H3N2,N2.2002B,2010.1
KU171036,A/swine/Ilinois/A01749128/2015,Unknown,H1N2,N2.2002B,delta1a
KU171021,A/swine/Illinois/A01749160/2015,Illinois,H1N2,N2.2002B,delta1a
KU173935,A/swine/Illinois/A01944886/2015,Illinois,H1N2,N2.2002B,delta1a
KU229941,A/swine/Iowa/A01857985/2015,Iowa,H1N2,N2.2002A,delta1a
KU229925,A/swine/Iowa/A01944835/2015,Iowa,H3N2,N2.2002B,cluster_iva
KU173947,A/swine/Iowa/A01945940/2015,Iowa,H1N2,N2.2002B,delta1a
KU173932,A/swine/North_Carolina/A01945949/2015,North Carolina,H1N2,N2.1998B,delta2
KU229953,A/swine/North_Carolina/A01945969/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU229938,A/swine/North_Carolina/A01945973/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU229935,A/swine/North_Carolina/A01945976/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU229916,A/swine/Iowa/A01944877/2015,Iowa,H3N2,N2.2002B,cluster_iva
KU229928,A/swine/Iowa/A01944889/2015,Iowa,(N2),N2.2002A,delta1b
KU173923,A/swine/North_Carolina/A01797007/2015,North Carolina,H1N2,N2.2002A,delta1a
KU173920,A/swine/North_Carolina/A01857988/2015,North Carolina,H1N2,N2.1998B,delta2
KU050707,A/swine/South_Dakota/A01747107/2015,South Dakota,H1N2,N2.2002A,delta1a
KU229932,A/swine/Arkansas/A01797066/2015,Arkansas,H3N2,N2.2002A,2010.1
KU229910,A/swine/Arkansas/A01797067/2015,Arkansas,H3N2,N2.2002A,2010.1
KU229950,A/swine/Illinois/A01944946/2015,Illinois,H3N2,N2.2002B,cluster_iva
KU242633,A/swine/Iowa/A01796161/2015,Iowa,(N2),N2.2002A,delta1a
KU229922,A/swine/North_Carolina/A01795709/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU217456,A/swine/Illinois/A01749173/2015,Illinois,H1N2,N2.2002B,delta1a
KU173944,A/swine/North_Carolina/A01795718/2015,North Carolina,H1N2,N2.1998B,delta2
KU173941,A/swine/North_Carolina/A01795723/2015,North Carolina,H1N2,N2.1998B,delta2
KU229944,A/swine/Arkansas/A01797106/2015,Arkansas,(N2),N2.2002A,cluster_iva
KU217450,A/swine/Illinois/A01749186/2015,Illinois,H1N2,N2.2002B,delta1a
KU173908,A/swine/Illinois/A01795739/2015,Illinois,H3N2,N2.2002A,2010.1
KU242657,A/swine/Illinois/A01797275/2015,Illinois,H3N2,N2.2002B,cluster_iva
KU173917,A/swine/Illinois/A01944998/2015,Illinois,H1N2,N2.2002B,delta1a
KU198909,A/swine/Minnesota/A01940992/2015,Minnesota,H1N2,N2.1998A,delta1b
KU229947,A/swine/Ohio/A01795737/2015,Ohio,H3N2,N2.2002A,2010.1
KU229913,A/swine/Ohio/A01797012/2015,Ohio,H3N2,N2.2002B,cluster_iva
KU242624,A/swine/Indiana/A01796207/2015,Indiana,H3N2,N2.2002A,2010.1
KU229973,A/swine/Indiana/A01812045/2015,Indiana,H3N2,N2.2002B,cluster_ivb
KX851939,A/swine/Indiana/A01812050/2015,Indiana,H1N2,N2.2002B,delta1a
KU173950,A/swine/Missouri/A01795736/2015,Missouri,H1N2,N2.2002A,delta1b
KU242645,A/swine/Nebraska/A01795781/2015,Nebraska,H1N2,N2.2002A,delta1b
KU752522,A/swine/Indiana/A01812059/2015,Indiana,H3N2,N2.2002B,cluster_iva
KU242651,A/swine/Iowa/A01797178/2015,Iowa,H1N2,N2.2002A,delta1a
KU198906,A/swine/Iowa/A01940974/2015,Iowa,H1N2,N2.2002A,delta1a
KU229903,A/swine/OK/A01377622/2015,Oklahoma,H3N2,N2.2002B,cluster_iva
KU229900,A/swine/OK/A01377632/2015,Oklahoma,H3N2,N2.2002B,cluster_iva
KU301039,A/swine/Illinois/A01795970/2015,Illinois,H1N2,N2.2002B,delta1a
KU242627,A/swine/Iowa/A01795793/2015,Iowa,H3N2,N2.2002B,cluster_iva
KU242672,A/swine/North_Carolina/A01795838/2015,North Carolina,H1N2,N2.1998B,delta2
KU306895,A/swine/Illinois/A01749223/2015,Illinois,H3N2,N2.2002A,cluster_ive
KU242669,A/swine/Illinois/A01795807/2015,Illinois,H3N2,N2.2002A,cluster_ive
KU752454,A/swine/Indiana/A01812061/2015,Indiana,H3N2,N2.2002B,cluster_ivb
KU752433,A/swine/Indiana/A01812062/2015,Indiana,H1N2,N2.1998B,delta2
KU217447,A/swine/Iowa/A01747221/2015,Iowa,H1N2,N2.2002A,delta1a
KU198912,A/swine/Nebraska/A01941002/2015,Nebraska,H1N2,N2.2002A,delta1b
KU301012,A/swine/North_Carolina/A01796260/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KU301008,A/swine/North_Carolina/A01796262/2015,North Carolina,(N2),N2.2002B,delta2
KU242636,A/swine/Iowa/A01795851/2015,Iowa,H1N2,N2.2002B,delta1a
KU301033,A/swine/Iowa/A01797314/2015,Iowa,H1N2,N2.2002B,delta1a
KU300995,A/swine/Minnesota/A01941115/2015,Minnesota,H3N2,N2.2002B,cluster_ivb
KU301030,A/swine/North_Carolina/A01796291/2015,North Carolina,H1N2,N2.1998B,delta2
KU300992,A/swine/Ohio/A01941023/2015,Ohio,H3N2,N2.2002A,cluster_iva
KU301027,A/swine/North_Carolina/A01796320/2015,North Carolina,H1N2,N2.1998B,delta2
KU217453,A/swine/Illinois/A01749275/2015,Illinois,H1N2,N2.2002B,delta1a
KU301036,A/swine/Illinois/A01796273/2015,Illinois,H3N2,N2.2002B,cluster_iva
KU301042,A/swine/Illinois/A01797392/2015,Illinois,H1N2,N2.2002B,delta1a
KU301018,A/swine/North_Carolina/A01796310/2015,North Carolina,H1N2,N2.1998B,delta2
KU229965,A/swine/Wisconsin/A01104088/2015,Wisconsin,H1N2,N2.2002A,delta1b
KU301002,A/swine/Illinois/A01797385/2015,Illinois,H1N2,N2.2002B,delta1a
KU357030,A/swine/Iowa/A01796353/2015,Iowa,H1N2,N2.2002B,delta1a
KU300986,A/swine/Iowa/A01941104/2015,Iowa,H1N2,N2.2002A,delta1a
KU306910,A/swine/Illinois/A01749292/2015,Illinois,H1N2,N2.2002B,delta1a
KU300984,A/swine/Minnesota/A01941094/2015,Minnesota,H3N2,N2.2002A,2010.1
KU357021,A/swine/North_Carolina/A01796370/2015,North Carolina,H1N2,N2.1998B,delta2
KU357024,A/swine/North_Carolina/A01796373/2015,North Carolina,H1N2,N2.1998B,delta2
KU300999,A/swine/Minnesota/A01941131/2015,Minnesota,H3N2,N2.2002B,cluster_iva
KU300972,A/swine/Minnesota/A01941141/2015,Minnesota,H1N2,N2.2002B,delta1a
KU300981,A/swine/Nebraska/A01941124/2015,Nebraska,H1N2,N2.2002A,delta1b
KU379570,A/swine/North_Carolina/A01797476/2015,North Carolina,H1N2,N2.1998B,delta2
KU379632,A/swine/Oklahoma/A01896023/2015,Oklahoma,H3N2,N2.2002B,cluster_iva
KU289605,A/swine/South_Dakota/A01747361/2015,South Dakota,H1N2,N2.2002A,delta1b
KU752501,A/swine/Florida/A01104089/2015,Florida,H3N2,N2.2002B,cluster_iva
KU306904,A/swine/Illinois/A01749354/2015,Illinois,H1N2,N2.2002B,delta1a
KU306901,A/swine/Illinois/A01749356/2015,Illinois,H1N2,N2.2002B,delta1a
KU306898,A/swine/Illinois/A01749362/2015,Illinois,H1N2,N2.2002B,delta1a
KU379579,A/swine/Illinois/A01797468/2015,Illinois,H1N2,N2.2002B,delta1a
KU752514,A/swine/Indiana/A01812071/2015,Indiana,H1N2,N2.2002B,delta1a
KU513680,A/swine/Iowa/A01796404/2015,Iowa,H1N2,N2.2002B,delta1a
KU357018,A/swine/Iowa/A01797426/2015,Iowa,H3N2,N2.2002A,2010.1
KU357015,A/swine/Iowa/A01798118/2015,Iowa,H1N2,N2.2002A,delta1a
KU357006,A/swine/Iowa/A01798119/2015,Iowa,H1N2,N2.2002A,delta1a
KU357012,A/swine/Missouri/A01798099/2015,Missouri,H3N2,N2.2002B,2010.1
KU379623,A/swine/Oklahoma/A01798161/2015,Oklahoma,H1N2,N2.2002B,delta1a
KU357000,A/swine/Pennsyvania/A01798127/2015,Unknown,H1N2,N2.1998B,delta2
KU379576,A/swine/Illinois/A01797505/2015,Illinois,H1N2,N2.2002B,delta1a
KU379599,A/swine/Illinois/A01796457/2015,Illinois,H3N2,N2.2002B,2010.1
KU379620,A/swine/Iowa/A01796466/2015,Iowa,H3N2,N2.2002B,cluster_iva
KU300989,A/swine/Iowa/A01941182/2015,Iowa,H3N2,N2.2002A,2010.1
KU379573,A/swine/North_Carolina/A01797533/2015,North Carolina,H3N2,N2.2002B,cluster_ivb
KU752488,A/swine/Florida/A01104090/2015,Florida,H1N2,N2.2002B,delta1a
KU306907,A/swine/Illinois/A01749386/2015,Illinois,H1N2,N2.2002B,delta1a
KU379602,A/swine/Indiana/A01895024/2015,Indiana,H1N2,N2.2002A,gamma
KU500871,A/swine/Indiana/A01797599/2015,Indiana,H1N2,N2.2002B,delta1a
KU500874,A/swine/Iowa/A01796498/2015,Iowa,H3N2,N2.2002A,2010.1
KU379605,A/swine/Iowa/A01896070/2015,Iowa,H1N2,N2.2002A,delta1a
KU379585,A/swine/Iowa/A01896071/2015,Iowa,(N2),N2.2002A,2010.1
KU517763,A/swine/Minnesota/A01941416/2015,Minnesota,H1N2,N2.2002A,delta1b
KU379608,A/swine/Ohio/A01895033/2015,Ohio,H3N2,N2.2002B,cluster_iva
KU379614,A/swine/North_Carolina/A01797607/2015,North Carolina,H1N2,N2.1998B,delta2
KU500859,A/swine/Illinois/A01797640/2015,Illinois,H1N2,N2.2002B,delta1a
KU379644,A/swine/Illinois/A01896080/2015,Illinois,H1N2,N2.2002A,delta1a
KU500850,A/swine/Ohio/A01796509/2015,Ohio,H3N2,N2.2002B,cluster_iva
KU500823,A/swine/Ohio/A01798226/2015,Ohio,H3N2,N2.2002A,2010.1
KU379641,A/swine/Arkansas/A01798224/2015,Arkansas,H3N2,N2.2002A,2010.1
KU362719,A/swine/Illinois/A01749468/2015,Illinois,H1N2,N2.2002B,delta1a
KU500814,A/swine/Illinois/A01797679/2015,Illinois,H1N2,N2.2002B,delta1a
KU500868,A/swine/Illinois/A01896091/2015,Illinois,H1N2,N2.2002B,delta1a
KU500829,A/swine/Iowa/A01796529/2015,Iowa,H1N2,N2.2002A,alpha
